SessionID,Date,ItemId,Event
351646,20140401030000.124,214717005,1
389654,20140401030000.567,214826705,1
263073,20140401030010.087,214716982,1
210798,20140401030013.070,214581827,1
375257,20140401030013.768,214644307,1
171168,20140401030020.130,214594678,1
164903,20140401030025.334,214716935,1
171168,20140401030032.610,214820231,1
33388,20140401030036.990,214544780,1
460339,20140401030042.482,214835287,1
389654,20140401030048.736,214587557,1
345618,20140401030059.369,214687685,1
375257,20140401030103.866,214582935,1
288523,20140401030106.597,214632380,1
263073,20140401030107.619,214716982,1
210798,20140401030108.992,214699010,1
345618,20140401030115.896,214705119,1
288523,20140401030122.885,214836073,1
109356,20140401030133.533,214586857,1
210798,20140401030139.135,214686937,1
263073,20140401030142.898,214716982,1
460339,20140401030145.326,214835287,1
448834,20140401030146.083,214820942,1
159229,20140401030150.502,214517880,1
200947,20140401030152.933,214691587,1
416919,20140401030154.863,214710787,1
244234,20140401030213.160,214716941,1
107842,20140401030216.379,214537777,1
446691,20140401030219.545,214826608,1
5182,20140401030221.719,214821026,1
23422,20140401030233.088,214821371,1
442037,20140401030235.280,214821037,1
389654,20140401030236.728,214826705,1
159229,20140401030237.028,214830444,1
33388,20140401030245.929,214556561,1
185089,20140401030249.004,214601233,1
484663,20140401030253.682,214532072,1
307164,20140401030254.372,214672963,1
132169,20140401030255.195,214691557,1
288523,20140401030259.271,214632380,1
130467,20140401030302.661,214554519,1
130467,20140401030306.367,214554519,1
472167,20140401030308.390,214700990,1
5182,20140401030311.600,214821028,1
351646,20140401030313.688,214716926,1
416919,20140401030319.485,214709546,1
190026,20140401030319.520,214706432,1
159229,20140401030325.385,214531612,1
92501,20140401030325.421,214691557,1
240599,20140401030325.967,214711297,1
30213,20140401030330.774,214832557,1
416919,20140401030332.994,214706197,1
375257,20140401030336.094,214652885,1
14611,20140401030345.041,214585644,1
185089,20140401030346.303,214819376,1
5182,20140401030354.684,214706432,1
159229,20140401030354.824,214820231,1
464413,20140401030354.868,214716935,1
464413,20140401030359.230,214716935,1
472167,20140401030400.723,214700992,1
484663,20140401030400.965,214826810,1
31646,20140401030402.052,214826801,1
200947,20140401030404.178,214712278,1
30213,20140401030404.536,214832559,1
159229,20140401030408.042,214820261,1
185089,20140401030408.287,214819376,1
132169,20140401030408.971,214691557,1
308039,20140401030416.536,214835655,1
92501,20140401030427.384,214691557,1
308039,20140401030430.408,214835694,1
484834,20140401030433.512,214716930,1
31646,20140401030436.862,214819385,1
416919,20140401030440.170,214706195,1
307164,20140401030440.233,214826801,1
30213,20140401030445.164,214832557,1
484834,20140401030452.678,214716935,1
185089,20140401030500.662,214819376,1
448834,20140401030501.985,214827030,1
375257,20140401030512.377,214652882,1
14611,20140401030514.036,214561496,1
109356,20140401030519.230,214829737,1
185089,20140401030521.311,214716667,1
468598,20140401030521.624,214586983,1
159229,20140401030524.180,214717007,1
161122,20140401030530.352,214832730,1
263073,20140401030531.743,214716982,3
464413,20140401030535.584,214716982,1
306109,20140401030537.309,214554510,1
5182,20140401030542.180,214819550,1
79777,20140401030542.845,214544325,1
164903,20140401030544.535,214838366,1
190026,20140401030548.907,214706432,1
270491,20140401030551.174,214677553,1
377297,20140401030603.838,214826715,1
306109,20140401030604.685,214577732,1
84519,20140401030606.944,214716836,1
109356,20140401030606.983,214705747,1
33388,20140401030608.295,214697741,1
210798,20140401030610.777,214581819,1
466654,20140401030612.148,214584907,1
5182,20140401030615.599,214821017,1
190026,20140401030616.050,214577732,1
307164,20140401030619.483,214585395,1
44808,20140401030626.285,214821028,1
308039,20140401030630.615,214836223,1
5182,20140401030634.307,214821390,1
84519,20140401030638.477,214714678,1
307164,20140401030641.470,214826801,1
17111,20140401030647.766,214561500,1
94341,20140401030648.524,214826955,1
306109,20140401030651.832,214554510,1
94341,20140401030652.256,214826606,1
432441,20140401030654.399,214716941,1
308039,20140401030657.567,214836227,1
375257,20140401030658.614,214657595,1
240599,20140401030702.600,214539039,1
377297,20140401030706.144,214826606,1
210798,20140401030712.127,214581821,1
79777,20140401030712.153,214530952,1
185089,20140401030712.199,214716667,1
44399,20140401030712.887,214601233,1
84519,20140401030713.407,214716836,1
466654,20140401030714.346,214584907,1
159998,20140401030717.422,214532070,1
448834,20140401030718.216,214511465,1
23422,20140401030719.625,214839909,1
